date,place,lat,lon,comment
04/30/1987,Manila,14.676041,121.043700,Birth
05/01/1990,Toronto,43.653226,-79.383184,Moved
05/10/2009,Varadero,23.179858,-81.188529,"Brother's Wedding"
08/22/2010,Los Cabos,22.890533,-109.916737,
01/30/2011,Cancun,21.161908,-86.851528,
07/24/2011,San Francisco,37.774929,-122.419416,Moved
05/29/2012,Las Vegas,36.169941,-115.139830,
08/04/2012,Toronto,43.653226,-79.383184,Moved
09/29/2013,New York,40.712784,-74.005941,
02/05/2014,Turks and Caicos,21.773765,-72.271908,
05/04/2014,San Francisco,37.774929,-122.419416,Moved
06/19/2014,Vancouver,49.282729,-123.120738,
09/07/2014,London,51.507351,-0.127758,
09/11/2014,Paris,48.856614,2.352222,
11/13/2014,Portland,45.523062,-122.676482,